  run year index     sng      sdg      sdc       og       rt      pop     area    edges clusters    xmean    ymean      rad    slope  cl_size   diffus   spread    breed  slp_res  rd_grav   %urban    %road grw_rate leesalee  grw_pix 
   15 1978  1     115.00   101.50     0.00   440.75    89.00 35335.25 35335.25  3464.75   969.50   241.14   471.05   106.05     4.09    36.00    46.71    46.71    46.71    40.91    45.41    11.31     0.00     2.11     0.78   746.25 
   15 1991  2     138.50   137.50     0.00  2770.25    53.50 58009.50 58009.50 16524.00  3385.00   280.40   444.44   135.88     4.09    16.75    53.16    53.16    53.16    23.66    47.13    16.96     0.00     5.34     0.30  3099.75 
   15 2013  3      99.00   126.75     0.00 11367.75    18.25 237300.75 237300.75 51478.50  3547.00   365.14   405.76   274.83     4.73    66.50    66.17    66.17    66.17     1.00    54.59    61.88     0.00     4.89     0.35 11611.75 
   16 1978  1     122.00   129.50     0.00   496.25    63.75 35585.75 35585.75  3628.00  1035.25   241.68   471.56   106.43     4.09    33.75    49.95    49.95    49.95    43.63    48.44    11.37     0.00     2.28     0.78   811.50 
   16 1991  2     135.75   142.75     0.00  3236.00    64.50 61728.00 61728.00 18521.25  3554.50   285.75   445.61   140.17     4.07    16.75    56.85    56.85    56.85    25.96    50.20    17.89     0.00     5.80     0.30  3579.00 
   16 2013  3      82.00   107.75     0.00 11782.00    21.50 262601.25 262601.25 50719.75  3021.50   369.97   402.91   289.11     4.72    86.50    70.76    70.76    70.76     1.00    58.43    68.19     0.00     4.57     0.35 11993.25 
   17 1978  1     123.25   124.25     0.00   544.75    80.75 35848.75 35848.75  3827.00  1087.75   243.13   470.76   106.82     4.10    32.50    53.07    53.07    53.07    46.62    51.44    11.44     0.00     2.44     0.77   873.00 
   17 1991  2     155.50   184.75     0.00  3840.25    47.25 65778.75 65778.75 20524.00  3657.75   292.00   441.74   144.70     4.06    17.50    60.40    60.40    60.40    28.48    53.25    18.89     0.00     6.43     0.31  4227.75 
   17 2013  3      74.25   108.50     0.00 11771.00     8.00 284844.25 284844.25 48225.50  2578.75   375.55   401.76   301.11     4.78   110.00    75.18    75.18    75.18     1.00    62.23    73.74     0.00     4.20     0.35 11961.75 
   18 1978  1     129.25   137.75     0.00   581.00    65.75 36023.75 36023.75  3972.75  1141.00   243.18   470.20   107.08     4.09    31.25    56.19    56.19    56.19    49.61    54.44    11.48     0.00     2.54     0.77   913.75 
   18 1991  2     146.75   186.75     0.00  4226.25    50.75 68887.00 68887.00 22095.50  3846.00   295.23   435.76   148.08     4.05    17.50    63.95    63.95    63.95    31.12    56.29    19.67     0.00     6.69     0.31  4610.50 
   18 2013  3      75.00   111.25     0.00 11276.50     5.25 303372.00 303372.00 45531.75  2218.25   376.93   399.48   310.75     4.81   136.25    79.60    79.60    79.60     1.00    65.92    78.36     0.00     3.78     0.34 11468.00 
   19 1978  1     135.00   154.50     0.00   664.25    88.00 36360.50 36360.50  4235.25  1217.00   243.76   469.54   107.58     4.08    29.75    59.31    59.31    59.31    52.60    57.44    11.56     0.00     2.86     0.77  1041.75 
   19 1991  2     155.00   203.25     0.00  4847.75    42.00 73444.75 73444.75 24198.25  3968.25   297.14   433.53   152.89     4.02    18.00    67.51    67.51    67.51    33.57    59.34    20.80     0.00     7.15     0.31  5248.00 
   19 2013  3      62.75    95.75     0.00 10602.50     3.25 322698.00 322698.00 41300.50  1783.25   378.19   397.93   320.50     4.83   180.50    84.02    84.02    84.02     1.00    69.75    83.19     0.00     3.34     0.35 10764.25 
   20 1978  1     134.00   162.00     0.00   706.25    76.75 36578.75 36578.75  4404.50  1258.00   244.66   468.43   107.90     4.08    28.50    62.44    62.44    62.44    55.59    60.44    11.62     0.00     2.95     0.77  1079.00 
   20 1991  2     150.00   201.75     0.00  5503.00    44.00 77576.50 77576.50 26073.00  4074.25   303.14   428.67   157.14     4.00    18.75    71.06    71.06    71.06    36.11    62.39    21.83     0.00     7.60     0.32  5898.75 
   20 2013  3      55.75    90.75     0.00  9566.50    15.00 337163.50 337163.50 37494.50  1479.75   382.99   397.06   327.60     4.89   227.50    88.45    88.45    88.45     1.00    73.49    86.80     0.00     2.89     0.34  9728.00 
   21 1978  1     138.25   191.00     0.00   738.00    82.00 36753.75 36753.75  4516.25  1287.25   244.68   469.01   108.16     4.07    28.00    65.56    65.56    65.56    58.58    63.44    11.66     0.00     3.13     0.76  1149.25 
   21 1991  2     162.75   228.50     0.00  6151.75    48.00 82172.75 82172.75 28170.50  4149.50   305.76   428.88   161.73     3.96    19.25    74.61    74.61    74.61    38.61    65.44    22.98     0.00     8.02     0.32  6591.00 
   21 2013  3      48.00    79.25     0.00  8379.00     2.50 348275.50 348275.50 32919.50  1183.50   384.48   397.66   332.95     4.91   294.25    92.87    92.87    92.87     1.00    77.20    89.57     0.00     2.44     0.34  8508.75 
   22 1978  1     137.75   186.75     0.00   835.00    81.50 37134.75 37134.75  4824.00  1362.00   245.94   468.13   108.72     4.06    26.75    68.68    68.68    68.68    61.57    66.44    11.76     0.00     3.34     0.76  1241.00 
   22 1991  2     154.50   242.00     0.00  6949.00    42.00 88024.50 88024.50 30399.50  4187.00   309.41   426.09   167.39     3.92    20.50    78.16    78.16    78.16    40.89    68.51    24.44     0.00     8.39     0.33  7387.50 
   22 2013  3      35.50    65.75     0.00  7269.25     2.50 359313.75 359313.75 29013.50   953.25   386.75   397.03   338.19     4.96   377.00    97.29    97.29    97.29     1.00    80.99    92.33     0.00     2.05     0.34  7373.00 
   23 1978  1     156.25   228.25     0.00   860.50    89.00 37332.25 37332.25  5003.50  1441.75   245.88   467.62   109.01     4.05    25.50    71.80    71.80    71.80    64.56    69.44    11.81     0.00     3.57     0.76  1334.00 
   23 1991  2     171.25   270.75     0.00  7668.75    32.50 93478.75 93478.75 32760.25  4306.75   311.22   421.97   172.49     3.89    21.00    81.72    81.72    81.72    43.31    71.57    25.80     0.00     8.71     0.33  8143.25 
   23 2013  3      38.25    68.25     0.00  5915.50     0.75 365712.25 365712.25 25322.50   758.25   387.36   396.74   341.19     4.99   482.00   100.00   100.00   100.00     1.00    84.69    93.92     0.00     1.65     0.33  6022.75 
   24 1978  1     154.50   227.00     0.00   964.75    74.25 37667.50 37667.50  5234.75  1496.25   247.83   467.27   109.50     4.05    24.50    74.92    74.92    74.92    67.55    72.45    11.89     0.00     3.77     0.75  1420.50 
   24 1991  2     170.75   279.25     0.00  8412.25    49.75 98327.50 98327.50 34633.75  4396.00   316.87   419.97   176.91     3.87    22.00    85.27    85.27    85.27    45.74    74.63    27.01     0.00     9.06     0.33  8912.00 
   24 2013  3      25.00    45.75     0.00  5143.50     4.25 369124.75 369124.75 23455.00   670.00   388.79   396.70   342.78     5.00   552.00   100.00   100.00   100.00     1.00    88.22    94.77     0.00     1.41     0.33  5218.50 
   25 1978  1     151.50   233.75     0.00  1047.50    77.25 37900.50 37900.50  5449.50  1529.00   247.81   466.67   109.84     4.04    24.50    78.05    78.05    78.05    70.54    75.45    11.95     0.00     3.98     0.75  1510.00 
   25 1991  2     168.25   282.75     0.00  9035.00    49.00 103669.75 103669.75 36467.00  4347.25   319.64   418.01   181.65     3.85    23.25    88.82    88.82    88.82    48.13    77.69    28.34     0.00     9.20     0.33  9535.00 
   25 2013  3      20.00    36.25     0.00  4479.25     7.50 373170.25 373170.25 22027.25   584.25   389.30   396.84   344.65     5.04   641.25   100.00   100.00   100.00     1.00    91.78    95.78     0.00     1.22     0.33  4543.00 
